No.,분류군,학명,대표국명,명명자,명명년도,멸종위기종,Phylum,문,Class,강,Order,목,Family,과,Genus,속,Subgenus,아속,Species,종
1,조류,Aix galericulata,원앙,(Linnaeus),-1758,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Aix,원앙속,,,galericulata,원앙
2,조류,Anas acuta,고방오리,Linnaeus,1758,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,acuta,고방오리
3,조류,Anas americana,아메리카홍머리오리,Gmelin,1789,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,americana,아메리카홍머리오리
4,조류,Anas carolinensis,미국쇠오리,Gmelin,1789,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,carolinensis,미국쇠오리
5,조류,Anas clypeata,넓적부리,Linnaeus,1758,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,clypeata,넓적부리
6,조류,Anas crecca,쇠오리,Linnaeus,1758,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,crecca,쇠오리
7,조류,Anas falcata,청머리오리,Georgi,1775,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,falcata,청머리오리
8,조류,Anas formosa,가창오리,Georgi,1775,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,formosa,가창오리
9,조류,Anas penelope,홍머리오리,Linnaeus,1758,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,penelope,홍머리오리
10,조류,Anas platyrhynchos,청둥오리,Linnaeus,1758,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,platyrhynchos,청둥오리
11,조류,Anas poecilorhyncha,흰뺨검둥오리,Forster,1781,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,poecilorhyncha,흰뺨검둥오리
12,조류,Anas querquedula,발구지,Linnaeus,1758,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,querquedula,발구지
13,조류,Anas rubripes,미국오리,Brewster,1902,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,rubripes,미국오리
14,조류,Anas strepera,알락오리,Linnaeus,1758,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,strepera,알락오리
15,조류,Anser albifrons,쇠기러기,(Scopoli),-1769,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anser,기러기속,,,albifrons,쇠기러기
